sourashtra_sentence,english_sentence
turE naav kAyo?,what is your name?
morE naav Ram,my name is Ram
sauryam ya?,how are you?
tuMi kono sE?,how are you?
mi chokkad sE,I am well
tuMi kOD sEte?,where do you live?
tuMi kAy chovdariyo?,what are you studying?
tuMi kAy kaam kerariyo?,what work do you do?
jeeli avo,good bye!
jeeli avus,good bye!
