sourashtra_word,english_word,optional_context
dishTi,evil eye,dishTi hedna means 'must remove the evil eye'
dhauro,temple,
aiyyO,priest,
nomke,faith,
vishvaas,faith,
dEv,god,
bhagvan,god,
ammo,goddess,
keeshTu,Krishna,
vinaay,Ganesh,
thinnaL,festival,
kumkum,vermillion,vermillion powder used for the bindi 
ammO dhauro,Meenakshi Amman,Meenakshi temple
