sourashtra_word,english_word,optional_context
havdulaattE,think,verb meaning "to think"
prunjaattE,understand,verb as in prunjaras or prunjaarani
yivar,knowledge,yivaar podaras to indicate understand 
yoseno,think,noun used in phrase "yoseno keraras"
mellattE,think,to think or mean to say
havdan se,remember,
havdan nhi,forget,
