sourashtra_word,english_word,optional_context
horaaD,wedding,
novrO,groom,
novri,bride,
novrO mai,mother of the groom,only in the context of marriage
novri mai,mother of the bride,only in the context of marriage
dorimboTTu,holy thread,sacred thread aka Mangalsutra
