sourashtra_word,english_word
akaas,sky
surit,sun
hoon,sunny
hunno,hot
suLLo,cold
chendAm,moon
chukko,star
mEg,cloud
mobbu,cloudy
povus,rain
chinkul,drizzle
gerjano,thunder
sundur,ocean
sundurukeTTo,beach
neddi,river
neddikeTTo,river bank
lAT,wave
lOt,deep
dongAr,mountain
jhAD,tree
jiib,life
kalaam,season
povusu kalaam,rainy season
hunno kalaam,hot season
vaaro,wind
paan,leaf
phUl,flower
