sourashtra_word,english_word
dallO,man
menik,man
menkyaan,people
bEyl,woman
bEylmeni,woman
ammakkO,woman
ghevrAr,pregnancy
ghevrArin,pregnant woman
dovrO,old man
dovri,old woman
orsu,age
orsu hoyaTenu,elderly
mhoTTan,elderly
nhuru,baby
beDki,girl
beDko,boy
keran,person
choDDo,thief
ujjeddinu,birthday
mooga,crowd
naav,name
