sourashtra_word,english_word
boTTel,clothing
chokai,shirt
chowni,shoe
thoPPi,hat
sowlO,saree
vET,dhoti
sommu,jewelry
muddhi,ring
kannadi,glasses
dolladam,glasses
townAD,earrings
