sourashtra_word,english_word
bodulle,instead
haLLu,slowly
biSSo,quickly
van,very
bheLi,very
jukku,very
churUM,early
aduttu,next
angun,more
cheri,together
singadi,together
serro,together
onTEs,only
nista,only
mottAMgan,overall
pura,entirely
pura,quite
avasyam,absolutely
meLLo,also
meLLi,also
