sourashtra_word,english_word
kin,and
kee,or
rhi,from
halti,therefore
thevulugu,so
rhiyadi muLLa,however
rhiyadi muLLa,notwithstanding
rhiyadi muLLa,albeit
rhiyadi muLLa,although
anna,but
kuchi,for
vaaT,through
reguta,next
chadugu,anyways
aduttu,next
