sourashtra_word,english_word
mingi,ant
ballu,bear
jhurul,cricket
bheis,buffalo
goru,bull
duDo,calf
gAi,cow
manjiri,cat
sunno,dog
kavLo,crow
ghedaT,donkey
aisthu,elephant
mhaLi,fish
kuDi,chicken
ghoDo,horse
simho,lion
kOdi,monkey
kiis,monkey
pisuLo,mosquitto
fhundir,mouse
dukkar,pig
