sourashtra_word,english_word
ghEr,house
ghOmO,house
aspatri,hospital
dhauro,temple
angidi,shop
poltam,school
dudUR,mile
thAM,location
vaaT,way
vaaT,route
vaaT,road
vaaT,street
uttAr,north
dakShen,south
khaunasu,east
osto,west
peyno,journey
